question,A,B,C,D,answer,file
What must be backed up in addition to the DATA_DIR for Govern nodes?,Temporary / Cache data,Logs,PostgreSQL database,Exports,C,../data/dataiku\operations\backups.md
Which of the following is NOT a type of Compute Resource Usage (CRU) context in DSS?,JOB_ACTIVITY,ANALYSIS_ML_TRAIN,SQL_NOTEBOOK,API_DEPLOYER_SERVICE,D,../data/dataiku\operations\compute-resource-usage-reporting.md
What is the purpose of the 'dataiku.com/dku-exec-submitter' label in Kubernetes pods created by DSS?,To identify the type of execution,To provide the login of the user who submitted the Kubernetes object,To specify the installation identifier of the DSS node,To indicate the unique identifier of the submission,B,../data/dataiku\operations\compute-resource-usage-reporting.md
Which of the following CRU types represents the execution of a Spark job on Kubernetes?,SINGLE_K8S_JOB,SPARK_K8S_JOB,LOCAL_PROCESS,SQL_QUERY,B,../data/dataiku\operations\compute-resource-usage-reporting.md
Which folder in the DSS data directory contains the data for the models trained in the Lab part of DSS?,analysis-data,saved-models,databases,notebook-results,A,../data/dataiku\operations\datadir.md
Which folder in the DSS data directory is not strictly required to be included in backups?,config,data-catalog,lib,managed-datasets,B,../data/dataiku\operations\datadir.md
Where can you find the path to the data directory if you did not install DSS yourself?,Administration > Maintenance > System info,Administration > Settings > Data directory,Settings > Maintenance > System info,Settings > Data directory > System info,A,../data/dataiku\operations\datadir.md
Which of the following is NOT a location in the DSS data directory?,jobs,scenarios,saved_models,logs,D,../data/dataiku\operations\disk-usage.md
What is the recommended method for cleaning up job logs in DSS?,Manually deleting job folders,Using the 'Clear job logs' macro,Running a Python script,Restarting DSS,B,../data/dataiku\operations\disk-usage.md
What kind of data is stored in the 'analysis-data' folder?,Temporary data,Machine learning models and staging data,Historical logs,Cached data,B,../data/dataiku\operations\disk-usage.md
Which of the following commands is used to list all jobs for a given project in DSS?,dsscli jobs-list,dsscli job-status,dsscli job-abort,dsscli job-clear,A,../data/dataiku\operations\dsscli.md
What is the primary difference between the dsscli and dssadmin command-line tools?,"dsscli is for installation tasks, while dssadmin is for day-to-day operations.","dsscli is for day-to-day operations, while dssadmin is for installation tasks.","dsscli is used for security-related commands, while dssadmin is used for project-related commands.","dsscli is used for managing datasets, while dssadmin is used for managing users.",B,../data/dataiku\operations\dsscli.md
Which of the following commands would you use to create a new user in DSS?,dsscli user-create,dsscli user-edit,dsscli users-list,dsscli user-delete,A,../data/dataiku\operations\dsscli.md
Which of the following commands is related to managing datasets in DSS?,Security-related commands,Jobs-related commands,Datasets related commands,Connections-related commands,C,../data/dataiku\operations\index.md
What is the purpose of the 'audit trail' in DSS?,To manage temporary files,To track and log events and actions within DSS,To configure log file rotation,To manage disk usage,B,../data/dataiku\operations\index.md
Which of the following is a method for controlling memory usage in DSS?,Using cgroups,Managing temporary files,Running an automatic backup,Viewing the audit trail,A,../data/dataiku\operations\index.md
Which of the following is true about the Free Edition of Dataiku DSS?,The license needs to be updated annually.,The license is automatically generated and never needs updating.,The license file must be manually copied into DATA_DIR/config/license.json.,The license is provided by Dataiku and needs to be renewed periodically.,B,../data/dataiku\operations\license.md
How can you update the license for the Enterprise Edition of Dataiku DSS?,By filling out a form on the Dataiku website.,By copying the new license file into DATA_DIR/config/license.json.,By logging into Dataiku DSS and entering the contents of the new license file.,Both B and C.,D,../data/dataiku\operations\license.md
"Which log file contains logs of the main DSS process, including all user operations directly performed in DSS?",ipython.log,backend.log,nginx.log,frontend.log,B,../data/dataiku\operations\logging.md
What is the default maximum file size for log rotation in DSS?,10 MB,50 MB,100 MB,200 MB,B,../data/dataiku\operations\logging.md
Which log file is rotated daily regardless of its size?,backend.log,ipython.log,nginx/access.log,eventserver.log,C,../data/dataiku\operations\logging.md
Which of the following is NOT a way to run a macro in DSS?,Manually from a Project’s 'Macros' screen,Automatically from a scenario step,By adding them on a dashboard for dashboard users,By scheduling them in the DSS calendar,D,../data/dataiku\operations\macros.md
Which of the following tasks can be automated using DSS macros?,Generating an audit report of which connections are used,List and mass-delete datasets by tag filters,Clear internal DSS databases,All of the above,D,../data/dataiku\operations\macros.md
Who can use data-import-related macros in DSS?,Only administrators,All DSS users,Only project managers,Only data scientists,B,../data/dataiku\operations\macros.md
What is the recommended memory allocation for the backend in large production instances of DSS?,4 to 8 GB,8 to 12 GB,12 to 20 GB,20 to 32 GB,C,../data/dataiku\operations\memory.md
Which of the following is NOT a factor that scales the backend memory requirement in DSS?,Number of users,"Number of projects, datasets, recipes",Overall activity,Number of Jupyter notebooks,D,../data/dataiku\operations\memory.md
What should you do if you see 'OutOfMemoryError: Java heap space' in the backend log?,Decrease backend.xmx,Increase backend.xmx,Restart DSS,Check the number of users,B,../data/dataiku\operations\memory.md
Which of the following is NOT a main topic for monitoring DSS?,Raising alerts when some services are not working properly,Storing and plotting immediate and historical data of host-level statistics,Providing built-in alerting mechanisms,Storing and plotting immediate and historical data of application-level statistics,C,../data/dataiku\operations\monitoring.md
What is the purpose of the dkumonitor tool provided by Dataiku?,To provide a built-in alerting mechanism for DSS,To bundle together the common 'Graphite / Grafana' stack for easy setup,To replace the need for any external monitoring software,To automatically fix any issues detected in DSS,B,../data/dataiku\operations\monitoring.md
"Which process is responsible for starting, restarting, and monitoring the top-level DSS processes?",The backend,The JEKs,supervisord,The governserver,C,../data/dataiku\operations\processes.md
"What is the main process of DSS that handles the API and UI, and schedules scenarios?",The JEKs,The backend,The FEKs,The governserver,B,../data/dataiku\operations\processes.md
"Which process is created for each model being trained using the 'In-memory (scikit-learn, LightGBM, XGBoost)' or 'Deep Learning' engines?",A Jupyter kernel,A Spark driver process,A Python process identified by 'dataiku.doctor.server',A webapp backend process,C,../data/dataiku\operations\processes.md
Which of the following HTTP proxies is NOT supported by DSS for WebSocket protocol?,nginx version 1.3.13 and above,Apache 2.4.5 and above,Amazon Web Services Application Load Balancer,SOCKS proxies,D,../data/dataiku\operations\proxies.md
What is required for DSS to trust a certificate authority in a network using a cloud-based proxy as a man in the middle (MITM) proxy?,Copy the certificates to /etc/pki/ca-trust/source/anchors and run update-ca-trust,Configure the proxy using standard configuration directives for Python or R,Add the proxy settings in the Administration menu under HTTP proxy,Use the REQUESTSCABUNDLE environment variable,A,../data/dataiku\operations\proxies.md
What is one of the main advantages of externally hosting runtime databases for bigger production DSS instances?,The internal H2 engine scales better than an external PostgreSQL server.,The external PostgreSQL server is more resilient to various failures.,It is easier to back up an H2 engine without any downtime.,Externally hosting runtime databases reduces the need for backups.,B,../data/dataiku\operations\runtime-databases.md
Which of the following is NOT stored in the runtime databases of DSS?,The history of run jobs and scenarios,The history and latest values of metrics and checks,The configuration of projects and datasets,The contents of discussions,C,../data/dataiku\operations\runtime-databases.md
What is the first step in setting up an externally-hosted runtime database for DSS?,Edit config/general-settings.json,Stop DSS,Run the command to copy databases to the external server,Start DSS,B,../data/dataiku\operations\runtime-databases.md
What is a major use case for audit centralization in API nodes?,Centralizing logs of API node queries for ML Ops activities.,Improving the speed of API responses.,Reducing the cost of API deployments.,Enhancing the user interface of the API.,A,../data/dataiku\operations\audit-trail\apinode.md
"In a high-security API node centralization setup, what is required for each service to ensure security?",A unique routing key for each service.,A service-specific authentication key.,A dedicated server for each service.,A separate API deployer for each service.,B,../data/dataiku\operations\audit-trail\apinode.md
What is the main advantage of the sample setup for easy centralization of API node logs?,No admin intervention is required when new API services are created and deployed.,It provides the highest level of security for the logs.,It allows for real-time monitoring of API performance.,It reduces the storage space required for logs.,A,../data/dataiku\operations\audit-trail\apinode.md
Which of the following topics is used for the audit of API node queries and replies?,generic,authfail,apinode-query,compute-resource-usage,C,../data/dataiku\operations\audit-trail\centralization-and-dispatch.md
Which target is experimental and covered by Tier 2 support?,Log4J target,EventServer target,Kafka target,None of the above,C,../data/dataiku\operations\audit-trail\centralization-and-dispatch.md
Which of the following fields in a standard audit log file indicates the duration of a query?,severity,logger,callTime,timestamp,C,../data/dataiku\operations\audit-trail\data.md
"In Event Server data files, what does the 'origAddress' field represent?",The IP of the DSS node that sent the event to the Event Server,The IP of the client that initiated the event,The IP of the server that processed the event,The IP of the user who performed the request,A,../data/dataiku\operations\audit-trail\data.md
Which of the following msgTypes is associated with the 'apinode-query' topic?,application-open,dataset-read-data-sample,prediction-query,scenario-run,C,../data/dataiku\operations\audit-trail\data.md
Which of the following steps is NOT required to import audit logs as a dataset in Dataiku's instance?,Add a Dataset > Cloud storages & Social > Amazon S3,Select the corresponding S3 connection and the path in bucket,Activate the partitioning in the 'Partitioning' tab,Manually add the API node logs to the instance,D,../data/dataiku\operations\audit-trail\dataikucloud.md
What is the name of the Amazon S3 connection that hosts the API Nodes logs queries in Dataiku Cloud?,customer-audit-log,dku-audit-log,api-node-log,instance-audit-log,A,../data/dataiku\operations\audit-trail\dataikucloud.md
What is the primary use case of the DSS Event Server?,To handle real-time data processing.,To centralize audit trail messages from multiple DSS nodes.,To manage user authentication.,To create datasets automatically.,B,../data/dataiku\operations\audit-trail\eventserver.md
Which of the following is NOT a step in installing the DSS Event Server?,Stop DSS,Run './bin/dssadmin install-event-server',Start DSS,Configure the event server in Administration > Settings > Event Server,D,../data/dataiku\operations\audit-trail\eventserver.md
Which of the following is a limitation of the DSS Event Server?,It cannot handle more than a few events per second.,It is not highly-available nor horizontally scalable.,It does not support authentication.,It can only write events to local files.,B,../data/dataiku\operations\audit-trail\eventserver.md
Which of the following is NOT a target for audit dispatching in DSS?,Log4J target,EventServer target,Kafka target,SQL target,D,../data/dataiku\operations\audit-trail\index.md
What information is included in the DSS audit trail?,"User ID, timestamp, IP address, authentication method","User ID, timestamp, IP address, browser type","User ID, timestamp, IP address, operating system","User ID, timestamp, IP address, location",A,../data/dataiku\operations\audit-trail\index.md
Which of the following is a method for configuring API nodes in DSS?,Manual configuration through API deployer,Automatic configuration through API deployer,Semi-automatic configuration through API deployer,Dynamic configuration through API deployer,B,../data/dataiku\operations\audit-trail\index.md
What is the primary function of the 'distinct' recipe in Dataiku DSS?,To merge multiple datasets into one.,To deduplicate rows in a dataset by retrieving unique rows.,To filter rows based on specific conditions.,To perform statistical analysis on a dataset.,B,../data/dataiku\other_recipes\distinct.md
Which of the following engines is NOT mentioned as an option for executing recipes in Dataiku DSS?,Hive,Impala,SparkSQL,TensorFlow,D,../data/dataiku\other_recipes\distinct.md
Which of the following is NOT a files-based connection supported by the download recipe?,HDFS,S3,MySQL,Azure Blob Storage,C,../data/dataiku\other_recipes\download.md
What is the primary function of the download recipe in Dataiku?,To interpret and analyze files,To create a directly usable dataset,To download files and store them in a DSS managed folder,To generate visual reports,C,../data/dataiku\other_recipes\download.md
What happens to remote files that disappear from the remote host during the next output folder build operation?,They are ignored,They are downloaded again,Their local mirror is deleted,They are renamed,C,../data/dataiku\other_recipes\download.md
Which of the following distances is NOT used for text columns in a fuzzy join?,Damerau–Levenshtein,Hamming,Euclidean,Cosine,C,../data/dataiku\other_recipes\fuzzy-join.md
What additional option in the fuzzy join recipe adds a meta column with details about joined keys?,Debug mode,Output matching details,Selected columns,Join conditions,B,../data/dataiku\other_recipes\fuzzy-join.md
Which join type is NOT supported by the fuzzy join recipe?,Inner,Left,Full,Right,C,../data/dataiku\other_recipes\fuzzy-join.md
Which of the following is NOT a supported connection for the 'generate features' recipe?,PostgreSQL,MySQL,MongoDB,Snowflake,C,../data/dataiku\other_recipes\generate-features.md
What is the purpose of setting a 'cutoff time' in the 'generate features' recipe?,To specify the point in time at which data from enrichment datasets should no longer be used in feature generation,To determine the primary key of the dataset,To set the time zone for the dataset,To define the format of the date columns,A,../data/dataiku\other_recipes\generate-features.md
Which of the following is a row-by-row computation available in the 'generate features' recipe?,Average,Count distinct,Day of week,Sum,C,../data/dataiku\other_recipes\generate-features.md
Which of the following is NOT a geometry storage type in DSS?,GEOMETRY,GEOPOINTS,WKT,SRID,D,../data/dataiku\other_recipes\geojoin.md
Which of the following geospatial matching operators is NOT symmetrical?,CONTAINS,INTERSECTS,TOUCHES,DISJOINT,A,../data/dataiku\other_recipes\geojoin.md
What is the SRID that all geometries must be projected in before manipulating geospatial data in DSS?,3857,4326,32633,27700,B,../data/dataiku\other_recipes\geojoin.md
Which of the following engines is NOT mentioned as an option for executing a recipe in DSS?,Hive,Impala,SparkSQL,PostgreSQL,D,../data/dataiku\other_recipes\grouping.md
What is the equivalent of a SQL 'group by' statement in DSS?,Filtering recipe,Grouping recipe,Joining recipe,Sampling recipe,B,../data/dataiku\other_recipes\grouping.md
Which of the following visual recipes in Dataiku is used for aggregating data?,Prepare,Sync,Grouping,Join,C,../data/dataiku\other_recipes\index.md
"In Dataiku, which recipe would you use to retrieve the first N rows of a dataset?",Top N,Sort,Stack,Split,A,../data/dataiku\other_recipes\index.md
Which visual recipe in Dataiku allows you to join datasets based on geospatial features?,Join,Fuzzy join,Geo join,Window,C,../data/dataiku\other_recipes\index.md
Which of the following join types is NOT supported by the 'join' recipe in DSS?,Left join,Right join,Self join,Cross join,C,../data/dataiku\other_recipes\join.md
What is the purpose of adding output datasets for unmatched rows in a join recipe?,To capture rows that do not meet the join conditions,To filter rows before the join operation,To rename columns with identical names,To select the engine for executing the recipe,A,../data/dataiku\other_recipes\join.md
Which of the following engines is NOT mentioned as an option for executing the join recipe in DSS?,Hive,Impala,SparkSQL,TensorFlow,D,../data/dataiku\other_recipes\join.md
Which of the following information can be retrieved about each file using the 'List Folder Contents' recipe?,File permissions,File size in bytes,File owner,File creation date,B,../data/dataiku\other_recipes\list-folder-contents.md
What is the purpose of the 'List Folder Contents' recipe in Dataiku?,To list all files in a folder into a dataset with additional file information,To delete all files in a folder,To move files from one folder to another,To compress files in a folder,A,../data/dataiku\other_recipes\list-folder-contents.md
What is the primary advantage of using the 'pivot' recipe over the 'pivot processor' in Dataiku?,The pivot recipe allows for dynamic output schema computation.,The pivot processor can handle larger datasets.,The pivot recipe requires pre-sorting of data.,The pivot processor offers more aggregation options.,A,../data/dataiku\other_recipes\pivot.md
Which of the following is NOT a method for handling modality names in the pivot recipe?,Soft slugification,Hard slugification,Numbering,Alphabetization,D,../data/dataiku\other_recipes\pivot.md
"In the context of the pivot recipe, what does the 'most frequent' option do when computing the list of modalities?",Keeps only the combinations appearing the most in the input data.,Keeps only the combinations appearing at least N times in the input data.,Specifies the combinations explicitly.,Ignores the original name of the modality and uses numbers instead.,A,../data/dataiku\other_recipes\pivot.md
What is the primary function of the Prepare recipe in Dataiku?,"To create data cleansing, normalization, and enrichment scripts.",To build machine learning models.,To visualize data in dashboards.,To manage user permissions.,A,../data/dataiku\other_recipes\prepare.md
How can you create a Prepare recipe in Dataiku?,Only from scratch.,Only by deploying it from a Visual Analysis in the Lab.,Both from scratch and by deploying it from a Visual Analysis in the Lab.,Only by importing it from external sources.,C,../data/dataiku\other_recipes\prepare.md
What is the main use case for a Push to Editable recipe?,To create a backup of a dataset.,To make manual corrections to a dataset.,To merge multiple datasets.,To visualize data trends.,B,../data/dataiku\other_recipes\push-to-editable.md
What is the row limit for datasets used in Push to Editable recipes?,50K rows,100K rows,200K rows,500K rows,B,../data/dataiku\other_recipes\push-to-editable.md
What must be selected to identify new or modified data in a Push to Editable recipe?,A unique identifier column,A timestamp column,A data type column,A filter column,A,../data/dataiku\other_recipes\push-to-editable.md
Which of the following types of filtering is only available when the input dataset is on ElasticSearch v7 and above?,Rules based,Formula based,SQL expression based,ElasticSearch query string,D,../data/dataiku\other_recipes\sampling.md
"In a rules-based filter, what are the two boolean operators that can be used to bind conditions and groups?","AND, OR","AND, NOT","OR, NOT","XOR, AND",A,../data/dataiku\other_recipes\sampling.md
Which type of filter is best suited for more complex filtering options or specific functions that do not appear in the rules-based filter view?,Rules based,Formula based,SQL expression based,ElasticSearch query string,B,../data/dataiku\other_recipes\sampling.md
Which of the following engines is NOT mentioned as an option for executing a recipe in DSS?,Hive,Impala,SparkSQL,PostgreSQL,D,../data/dataiku\other_recipes\sort.md
"In DSS, how are null values handled in ascending order since version 4.1?",Placed at the end,Placed at the beginning,Randomly placed,Ignored,B,../data/dataiku\other_recipes\sort.md
What is the primary function of the 'split' recipe in Dataiku?,To merge multiple datasets into one.,To dispatch rows of one dataset into several other datasets based on rules.,To clean and preprocess data.,To visualize data trends.,B,../data/dataiku\other_recipes\split.md
Which of the following is NOT a use-case of the sync recipe in Dataiku?,Copying a SQL dataset to HDFS to perform Hive recipes.,Copying a HDFS dataset to ElasticSearch to query it.,Copying a file dataset to a SQL database for efficient querying.,Copying a dataset to a different format without any schema handling.,D,../data/dataiku\other_recipes\sync.md
What should you do if you modify the schema of the input dataset in a sync recipe?,"Nothing, the schema will automatically update.",Go to the edition screen for the sync recipe and click the 'Resync Schema' button.,Manually update the schema of the output dataset.,Restart the Dataiku server.,B,../data/dataiku\other_recipes\sync.md
Which engine is always available but may not be optimal for running the sync recipe?,Spark,SQL,Hive,DSS streaming,D,../data/dataiku\other_recipes\sync.md
Which of the following engines is NOT mentioned as a possible choice for executing the 'top N' recipe in DSS?,Hive,Impala,MySQL,SparkSQL,C,../data/dataiku\other_recipes\topn.md
What is required for the 'top N' recipe to function correctly when no grouping key is provided?,At least one order column,At least one filter,At least one alias,At least one pre-filter,A,../data/dataiku\other_recipes\topn.md
What is the purpose of the remaining rows output in the 'top N' recipe?,To retrieve rows that match the Top N recipe definitions,To retrieve rows that do not match the Top N recipe definitions,To retrieve rows with null values,To retrieve rows with duplicate values,B,../data/dataiku\other_recipes\topn.md
Which of the following engines is NOT mentioned as an option for executing the 'window' recipe in DSS?,Hive,Impala,PostgreSQL,SparkSQL,C,../data/dataiku\other_recipes\window.md
What is the default window behavior when using the DSS engine if no window is specified?,It defaults to the first row,It defaults to the last row,It defaults to the whole frame,It defaults to the middle frame,C,../data/dataiku\other_recipes\window.md
Which of the following dependency functions is typically used when the output dataset is not partitioned?,Equals,Time range,Since beginning of week,Latest available,D,../data/dataiku\partitions\dependencies.md
What type of dependency function returns input values based on output values?,Relative,Absolute,Explicit values,All available,A,../data/dataiku\partitions\dependencies.md
Which dependency function yields all time periods in a time range relative to the output?,Equals,Time range,Since beginning of week,Explicit values,B,../data/dataiku\partitions\dependencies.md
Which of the following storage options is NOT mentioned as a type of files-based dataset that can be partitioned?,Filesystem,Amazon S3,Google Cloud Storage,Microsoft OneDrive,D,../data/dataiku\partitions\fs_datasets.md
What is the purpose of the partition redispatch feature in Dataiku DSS?,To duplicate columns before partitioning,To transform a non-partitioned dataset to a partitioned dataset,To remove partition columns from the schema,To create a prepare recipe,B,../data/dataiku\partitions\fs_datasets.md
Which of the following statements is true about Hive recipes in Dataiku DSS?,Hive recipes act on SQL databases using column-based partitioning.,Hive recipes act on HDFS datasets using files-based partitioning.,Hive recipes do not support partitioning.,Hive recipes require a WHERE clause to restrict selected partitions.,B,../data/dataiku\partitions\hive.md
What must be included in the PARTITION clause when writing data in a Hive recipe?,Dynamic values computed using the query itself.,Static values that do not change.,Values that are computed at runtime.,Values that are fetched from an external source.,B,../data/dataiku\partitions\hive.md
What is the format for identifying a partition with a granularity of 'Hour'?,YYYY,YYYY-MM,YYYY-MM-DD,YYYY-MM-DD-HH,D,../data/dataiku\partitions\identifiers.md
Which of the following is a valid example of a partition identifier with multiple dimensions?,2020-01-01|France,2020-01-01,France|Italy,2020-01-01-13,A,../data/dataiku\partitions\identifiers.md
Which of the following special keywords can be used to refer to the current month in a time dimension identifier?,CURRENT_DAY,CURRENT_MONTH,CURRENT_YEAR,CURRENT_HOUR,B,../data/dataiku\partitions\identifiers.md
Which of the following storage options is NOT used in files-based partitioning?,HDFS,Amazon S3,SQL databases,Azure Blob Storage,C,../data/dataiku\partitions\index.md
"In column-based partitioning, which of the following is NOT a type of database used?",SQL databases,NoSQL databases,Filesystem,Elasticsearch,C,../data/dataiku\partitions\index.md
What can you train from partitioned datasets?,Partitioned prediction models,Unsupervised learning models,Reinforcement learning models,Clustering models,A,../data/dataiku\partitions\models.md
"When a recipe is used to compute a partitioned dataset in Dataiku DSS, what does it process?",The entire dataset,Only the involved partitions,Random partitions,None of the above,B,../data/dataiku\partitions\recipes.md
What must be true for all output datasets when a recipe computes several datasets in Dataiku DSS?,They must have different partitioning schemas,They must have the same partitioning schema,They must be stored in the same location,They must be of the same size,B,../data/dataiku\partitions\recipes.md
What does a single invocation of a recipe in Dataiku DSS do?,Reads the entire input dataset and writes the entire output dataset,Reads one or several partitions of the input datasets and writes exactly one partition for each output dataset,Reads random partitions of the input datasets and writes random partitions for each output dataset,Reads and writes the entire dataset without partitioning,B,../data/dataiku\partitions\recipes.md
Which of the following is NOT a requirement for partitioning an external SQL table dataset in Dataiku DSS?,Configuring which columns provide the partitioning values,Specifying the type and parameters of each partitioning dimension,Ensuring the partitioning columns are of Date type,Providing a way to list the partitions,C,../data/dataiku\partitions\sql_datasets.md
"When using time-based partitioning on an SQL table in Dataiku DSS, what type should the partitioning columns NOT be?",String,Integer,Date,Varchar,C,../data/dataiku\partitions\sql_datasets.md
"In SQL recipes, how should you handle reading from partitioned datasets?",Manually restrict what is being read in your query.,Use a predefined template for all queries.,Hard-code the partition in your recipe.,Use a different SQL recipe for each partition.,A,../data/dataiku\partitions\sql_recipes.md
"When writing into partitioned datasets using an SQL Query recipe, what must appear in the output data?",Only the columns specified in the input dataset.,The partitioning columns at the correct position with the correct name.,A unique identifier for each row.,A timestamp for each record.,B,../data/dataiku\partitions\sql_recipes.md
What is required when writing into partitioned datasets using an SQL script recipe?,Ensuring idempotence and inserting records with the correct partitioning values.,Using a predefined template for all scripts.,Hard-coding the partition values in the script.,Using a different script for each partition.,A,../data/dataiku\partitions\sql_recipes.md
Which of the following can be added through plugins in Dataiku DSS?,Datasets,Recipes,Visual Machine Learning algorithms,All of the above,D,../data/dataiku\plugins\index.md
Which of the following methods is NOT a way to install plugins on a Dataiku DSS instance?,Installing from the Store,Installing from a ZIP file,Installing from a Git repository,Installing from a Docker container,D,../data/dataiku\plugins\installing.md
What permissions are required to install plugins on a Dataiku DSS instance?,Read permissions,Write permissions,Admin permissions,Execute permissions,C,../data/dataiku\plugins\installing.md
What action should you take if a pull fails due to a conflict in Dataiku?,Create a new local branch and push it,Directly resolve conflicts in DSS,Delete the remote branch,Ignore the conflict and continue working,A,../data/dataiku\plugins\reference\git-editor.md
Which of the following is NOT a feature available when associating a Git remote repository to your plugin in Dataiku?,Fetch,Push,Merge branches directly in DSS,Pull,C,../data/dataiku\plugins\reference\git-editor.md
What is the first step to revert your plugin to a specific revision in Dataiku?,Click on the branch indicator,Click on 'History' and select the revision,Push the current branch to the remote,Fetch the latest changes from the remote,B,../data/dataiku\plugins\reference\git-editor.md
Which of the following is NOT a type of parameter mentioned in the context?,Basic types,Complex types,DSS object parameters,Advanced types,D,../data/dataiku\plugins\reference\index.md
What is one of the actions you can perform with Git integration in the plugin editor?,Viewing history,Creating plugins,Running tests,Deploying models,A,../data/dataiku\plugins\reference\index.md
Which file is used to declare the required packages for a Dataiku DSS plugin?,plugin.json,requirements.json,desc.json,environment.spec,B,../data/dataiku\plugins\reference\other.md
"In a Dataiku DSS plugin, where should you place shared code that needs to be accessible by multiple datasets and recipes?",resource folder,python-lib folder,code-env folder,spec folder,B,../data/dataiku\plugins\reference\other.md
What is the purpose of the 'resources_init.py' file in a Dataiku DSS plugin?,To declare required packages,To initialize the code environment resources directory,To define the environment characteristics,To categorize recipes and datasets,B,../data/dataiku\plugins\reference\other.md
Which of the following is NOT a basic type of parameter in Dataiku?,BOOLEAN,DATE,MAP,DOUBLE,C,../data/dataiku\plugins\reference\params.md
What type of parameter would you use to select multiple values among possible choices in Dataiku?,SELECT,MULTISELECT,ARRAY,OBJECT_LIST,B,../data/dataiku\plugins\reference\params.md
"In Dataiku, which parameter type is used to display a parameter based on the value of other parameters?",visibilityCondition,conditionalParameter,dynamicParameter,dependentParameter,A,../data/dataiku\plugins\reference\params.md
Which of the following is NOT a component that can be part of a Dataiku DSS plugin?,Dataset,Recipe,API Gateway,Webapps,C,../data/dataiku\plugins\reference\plugins-components.md
What is the recommended practice for the 'id' element in the plugin.json file?,It should be a random string,It should be the same as the name of the top-level directory,It should be a numeric value,It should be left empty,B,../data/dataiku\plugins\reference\plugins-components.md
Which of the following is a correct description of the 'meta' field in a component's JSON file?,It contains the code that defines what the component does,"It is used for display purposes, including the name, description, and icon of the component",It specifies the version of the component,It lists the dependencies of the component,B,../data/dataiku\plugins\reference\plugins-components.md
Which of the following date formats is recognized as valid by Dataiku DSS?,ISO-8601 with timezone indicator,RFC 822,MM/DD/YYYY,DD-MM-YYYY,"A, B",../data/dataiku\preparation\dates.md
What is the purpose of the 'Smart Date Parser' in Dataiku DSS?,To detect probable formats of unparsed date columns and assist in generating the correct format,To convert UNIX timestamps to a date format,"To extract date components like year, month, and day",To filter rows based on date ranges,A,../data/dataiku\preparation\dates.md
Which of the following methods can be used to determine the timezone for a given row in Dataiku DSS?,Using a static value,Using a timezone column,Using an IP address column,Using a date format column,"A, B, C",../data/dataiku\preparation\dates.md
Which of the following dataset types is recommended for fast read and write on Spark?,S3,Azure Blob Storage,Google Cloud Storage,All of the above,D,../data/dataiku\preparation\engines.md
Which of the following processors is NOT available with SQL processing?,Keep/Delete columns,Rename columns,Extract numbers,Concatenate columns,C,../data/dataiku\preparation\engines.md
When does execution on the whole dataset happen during analysis?,When designing a data preparation,When exporting the prepared data,When running a machine learning model,Both B and C,D,../data/dataiku\preparation\engines.md
Which of the following is NOT a type of filter provided by DSS for filtering data?,Filter on value,Filter on numerical range,Filter on text length,Filter on date range,C,../data/dataiku\preparation\filter-flag.md
What does the 'Normalize' mode do in the context of filtering on value?,Performs a case-sensitive search,Performs a case-insensitive search,Performs an accents-insensitive search,Performs a search using regular expressions,C,../data/dataiku\preparation\filter-flag.md
Which of the following is NOT a valid match condition for filtering rows/cells with a formula?,A true boolean,A number which is not 0,The string 'true',The string 'false',D,../data/dataiku\preparation\filter-flag.md
Which processor in DSS uses the GeoIP database to resolve an IP address to geographic coordinates?,Geopoint converters,Resolve GeoIP,Reverse geocoding,Zipcode geocoding,B,../data/dataiku\preparation\geographic.md
What type of data does the 'Extract from geo column' processor extract from a geometry column?,"Centroid point, length, and area",Latitude and longitude,Country and city,Rectangular and circular polygons,A,../data/dataiku\preparation\geographic.md
Which processor would you use to convert data projected in a different CRS to the WGS84 (EPSG:4326) coordinates system?,Create GeoPoint from lat/lon,Change coordinates system,Compute distances between geospatial objects,Create area around a geopoint,B,../data/dataiku\preparation\geographic.md
Which of the following is NOT a feature of visual data preparation in Dataiku DSS?,Creating data cleansing scripts,Normalizing data,Enriching data,Building machine learning models,D,../data/dataiku\preparation\index.md
Which of the following processors can be used to handle date-related operations in Dataiku DSS?,Extract date elements,Compute distance between geospatial objects,Normalize measure,Tokenize text,A,../data/dataiku\preparation\index.md
Which of the following is a geographic processor available in Dataiku DSS?,Extract ngrams,Resolve GeoIP,Split column,Formula,B,../data/dataiku\preparation\index.md
Which processor in DSS is used to create new lines by splitting the values of a column?,Fold multiple columns,Unfold,Split and Fold,Triggered Unfold,C,../data/dataiku\preparation\reshaping.md
"What is the result of applying the 'Unfold' processor on a column with values 'A', 'B', and 'C'?",Transforms cell values into binary columns,Transforms array values into occurrence columns,Creates new lines by splitting the values of a column,Takes values from multiple columns and transforms them to one line per column,A,../data/dataiku\preparation\reshaping.md
Which processor is used to transform array values into occurrence columns?,Split and Fold,Unfold an array,Fold multiple columns by pattern,Split and Unfold,B,../data/dataiku\preparation\reshaping.md
Which of the following statements is true about the 'Fixed size intervals' binning mode?,The upper bound is included and the lower bound is excluded.,The lower bound is included and the upper bound is excluded.,Both bounds are included.,Both bounds are excluded.,B,../data/dataiku\preparation\processors\binner.md
Which of the following hashing algorithms is supported by PostgreSQL for pseudonymization?,MD5,SHA-256,SHA-512,None of the above,A,../data/dataiku\preparation\processors\column-pseudonymization.md
